자소서,질문
"‘쟁취’는 저를 잘 표현하는 단어이자, 제 인생의 태도입니다. 목표를 이루기 위해 남들보다 더 진중한 태도로 성실하게 노력하는 것의 가치를 경험을 통해 배웠습니다. 군 복무 중 특급전사 달성을 목표로 매일 같이 개인정비 시간에 근력 운동을 했습니다. 또한 자격 요건에 해당하는 병 기본 이론도 꾸준히 공부했습니다. 4개월간 성실히 노력한 결과, 2019년도 군번 중 가장 먼저 특급전사를 달성했습니다. 특급전사를 달성한 경험을 통해 꾸준한 노력을 통해 무엇이든 목표로 한 것을 이뤄낼 수 있겠다는 자신감을 얻었습니다. 전역을 후에 복학을 하고 나서는 제약 분야의 전문가가 되겠다는 목표로 전공 공부에 임했습니다. 그 결과 3학년 2학기에 4.32의 학점을 달성하였고, 미생물유전학, 단백질공학, 기질 생물학 연구실 등 3군데의 연구실에서 학부 연구원 경험을 했습니다. 또한 OO OOOOOO 에서 6주간 대학생 인턴 실습을 품질관리 직무로 진행하기도 했습니다. 이러한 성공 경험을 바탕으로 에스티팜에 입사하여 품질관리 직무를 맡아 업무적인 성과를 쟁취하겠습니다. 생산 및 출하 일정에 맞춰 분석 시험을 진행하면서 제품의 품질이 완벽하도록 하는데 기여하겠습니다. IPC QC로 업무를 수행하며 직무적인 성장과 회사의 성장을 동시에 쟁취하는 것이 목표입니다.",쟁취하는 삶의 태도가 어떻게 귀하의 인생과 경력에 영향을 미쳤나요? 어떤 상황에서 이 태도를 가장 강하게 발휘했나요?
"‘쟁취’는 저를 잘 표현하는 단어이자, 제 인생의 태도입니다. 목표를 이루기 위해 남들보다 더 진중한 태도로 성실하게 노력하는 것의 가치를 경험을 통해 배웠습니다. 군 복무 중 특급전사 달성을 목표로 매일 같이 개인정비 시간에 근력 운동을 했습니다. 또한 자격 요건에 해당하는 병 기본 이론도 꾸준히 공부했습니다. 4개월간 성실히 노력한 결과, 2019년도 군번 중 가장 먼저 특급전사를 달성했습니다. 특급전사를 달성한 경험을 통해 꾸준한 노력을 통해 무엇이든 목표로 한 것을 이뤄낼 수 있겠다는 자신감을 얻었습니다. 전역을 후에 복학을 하고 나서는 제약 분야의 전문가가 되겠다는 목표로 전공 공부에 임했습니다. 그 결과 3학년 2학기에 4.32의 학점을 달성하였고, 미생물유전학, 단백질공학, 기질 생물학 연구실 등 3군데의 연구실에서 학부 연구원 경험을 했습니다. 또한 OO OOOOOO 에서 6주간 대학생 인턴 실습을 품질관리 직무로 진행하기도 했습니다. 이러한 성공 경험을 바탕으로 에스티팜에 입사하여 품질관리 직무를 맡아 업무적인 성과를 쟁취하겠습니다. 생산 및 출하 일정에 맞춰 분석 시험을 진행하면서 제품의 품질이 완벽하도록 하는데 기여하겠습니다. IPC QC로 업무를 수행하며 직무적인 성장과 회사의 성장을 동시에 쟁취하는 것이 목표입니다.",군 복무 시 특급전사를 달성하기 위해 노력한 경험에 대해 자세히 설명해주세요. 이 과정에서 어떤 어려움을 극복했나요?
"‘쟁취’는 저를 잘 표현하는 단어이자, 제 인생의 태도입니다. 목표를 이루기 위해 남들보다 더 진중한 태도로 성실하게 노력하는 것의 가치를 경험을 통해 배웠습니다. 군 복무 중 특급전사 달성을 목표로 매일 같이 개인정비 시간에 근력 운동을 했습니다. 또한 자격 요건에 해당하는 병 기본 이론도 꾸준히 공부했습니다. 4개월간 성실히 노력한 결과, 2019년도 군번 중 가장 먼저 특급전사를 달성했습니다. 특급전사를 달성한 경험을 통해 꾸준한 노력을 통해 무엇이든 목표로 한 것을 이뤄낼 수 있겠다는 자신감을 얻었습니다. 전역을 후에 복학을 하고 나서는 제약 분야의 전문가가 되겠다는 목표로 전공 공부에 임했습니다. 그 결과 3학년 2학기에 4.32의 학점을 달성하였고, 미생물유전학, 단백질공학, 기질 생물학 연구실 등 3군데의 연구실에서 학부 연구원 경험을 했습니다. 또한 OO OOOOOO 에서 6주간 대학생 인턴 실습을 품질관리 직무로 진행하기도 했습니다. 이러한 성공 경험을 바탕으로 에스티팜에 입사하여 품질관리 직무를 맡아 업무적인 성과를 쟁취하겠습니다. 생산 및 출하 일정에 맞춰 분석 시험을 진행하면서 제품의 품질이 완벽하도록 하는데 기여하겠습니다. IPC QC로 업무를 수행하며 직무적인 성장과 회사의 성장을 동시에 쟁취하는 것이 목표입니다.","병 기본 이론을 공부하고 꾸준한 노력으로 특급전사를 달성한 경험을 바탕으로, 에스티팜의 품질관리 직무에 어떤 점에서 도움이 될 것 같나요?"
"‘쟁취’는 저를 잘 표현하는 단어이자, 제 인생의 태도입니다. 목표를 이루기 위해 남들보다 더 진중한 태도로 성실하게 노력하는 것의 가치를 경험을 통해 배웠습니다. 군 복무 중 특급전사 달성을 목표로 매일 같이 개인정비 시간에 근력 운동을 했습니다. 또한 자격 요건에 해당하는 병 기본 이론도 꾸준히 공부했습니다. 4개월간 성실히 노력한 결과, 2019년도 군번 중 가장 먼저 특급전사를 달성했습니다. 특급전사를 달성한 경험을 통해 꾸준한 노력을 통해 무엇이든 목표로 한 것을 이뤄낼 수 있겠다는 자신감을 얻었습니다. 전역을 후에 복학을 하고 나서는 제약 분야의 전문가가 되겠다는 목표로 전공 공부에 임했습니다. 그 결과 3학년 2학기에 4.32의 학점을 달성하였고, 미생물유전학, 단백질공학, 기질 생물학 연구실 등 3군데의 연구실에서 학부 연구원 경험을 했습니다. 또한 OO OOOOOO 에서 6주간 대학생 인턴 실습을 품질관리 직무로 진행하기도 했습니다. 이러한 성공 경험을 바탕으로 에스티팜에 입사하여 품질관리 직무를 맡아 업무적인 성과를 쟁취하겠습니다. 생산 및 출하 일정에 맞춰 분석 시험을 진행하면서 제품의 품질이 완벽하도록 하는데 기여하겠습니다. IPC QC로 업무를 수행하며 직무적인 성장과 회사의 성장을 동시에 쟁취하는 것이 목표입니다.",대학에서의 학점과 연구 경험은 품질관리 직무를 수행하는 데 어떻게 도움이 될 것으로 생각하시나요?
"‘쟁취’는 저를 잘 표현하는 단어이자, 제 인생의 태도입니다. 목표를 이루기 위해 남들보다 더 진중한 태도로 성실하게 노력하는 것의 가치를 경험을 통해 배웠습니다. 군 복무 중 특급전사 달성을 목표로 매일 같이 개인정비 시간에 근력 운동을 했습니다. 또한 자격 요건에 해당하는 병 기본 이론도 꾸준히 공부했습니다. 4개월간 성실히 노력한 결과, 2019년도 군번 중 가장 먼저 특급전사를 달성했습니다. 특급전사를 달성한 경험을 통해 꾸준한 노력을 통해 무엇이든 목표로 한 것을 이뤄낼 수 있겠다는 자신감을 얻었습니다. 전역을 후에 복학을 하고 나서는 제약 분야의 전문가가 되겠다는 목표로 전공 공부에 임했습니다. 그 결과 3학년 2학기에 4.32의 학점을 달성하였고, 미생물유전학, 단백질공학, 기질 생물학 연구실 등 3군데의 연구실에서 학부 연구원 경험을 했습니다. 또한 OO OOOOOO 에서 6주간 대학생 인턴 실습을 품질관리 직무로 진행하기도 했습니다. 이러한 성공 경험을 바탕으로 에스티팜에 입사하여 품질관리 직무를 맡아 업무적인 성과를 쟁취하겠습니다. 생산 및 출하 일정에 맞춰 분석 시험을 진행하면서 제품의 품질이 완벽하도록 하는데 기여하겠습니다. IPC QC로 업무를 수행하며 직무적인 성장과 회사의 성장을 동시에 쟁취하는 것이 목표입니다.","입사 후에 업무적인 성과를 달성하기 위해 어떤 방식으로 접근하고 계획하고 있나요? 특히, 제품 품질을 개선하고 생산 및 출하 일정을 맞추는 데 어떤 역량을 발휘할 것인지 설명해주세요."
"‘쟁취’는 저를 잘 표현하는 단어이자, 제 인생의 태도입니다. 목표를 이루기 위해 남들보다 더 진중한 태도로 성실하게 노력하는 것의 가치를 경험을 통해 배웠습니다. 군 복무 중 특급전사 달성을 목표로 매일 같이 개인정비 시간에 근력 운동을 했습니다. 또한 자격 요건에 해당하는 병 기본 이론도 꾸준히 공부했습니다. 4개월간 성실히 노력한 결과, 2019년도 군번 중 가장 먼저 특급전사를 달성했습니다. 특급전사를 달성한 경험을 통해 꾸준한 노력을 통해 무엇이든 목표로 한 것을 이뤄낼 수 있겠다는 자신감을 얻었습니다. 전역을 후에 복학을 하고 나서는 제약 분야의 전문가가 되겠다는 목표로 전공 공부에 임했습니다. 그 결과 3학년 2학기에 4.32의 학점을 달성하였고, 미생물유전학, 단백질공학, 기질 생물학 연구실 등 3군데의 연구실에서 학부 연구원 경험을 했습니다. 또한 OO OOOOOO 에서 6주간 대학생 인턴 실습을 품질관리 직무로 진행하기도 했습니다. 이러한 성공 경험을 바탕으로 에스티팜에 입사하여 품질관리 직무를 맡아 업무적인 성과를 쟁취하겠습니다. 생산 및 출하 일정에 맞춰 분석 시험을 진행하면서 제품의 품질이 완벽하도록 하는데 기여하겠습니다. IPC QC로 업무를 수행하며 직무적인 성장과 회사의 성장을 동시에 쟁취하는 것이 목표입니다.",회사의 성장과 직무적인 성장을 동시에 달성하는데 중요하게 생각하는 가치나 원칙이 있나요? 이러한 가치를 어떻게 실천하고 있는지 알려주세요.
"‘쟁취’는 저를 잘 표현하는 단어이자, 제 인생의 태도입니다. 목표를 이루기 위해 남들보다 더 진중한 태도로 성실하게 노력하는 것의 가치를 경험을 통해 배웠습니다. 군 복무 중 특급전사 달성을 목표로 매일 같이 개인정비 시간에 근력 운동을 했습니다. 또한 자격 요건에 해당하는 병 기본 이론도 꾸준히 공부했습니다. 4개월간 성실히 노력한 결과, 2019년도 군번 중 가장 먼저 특급전사를 달성했습니다. 특급전사를 달성한 경험을 통해 꾸준한 노력을 통해 무엇이든 목표로 한 것을 이뤄낼 수 있겠다는 자신감을 얻었습니다. 전역을 후에 복학을 하고 나서는 제약 분야의 전문가가 되겠다는 목표로 전공 공부에 임했습니다. 그 결과 3학년 2학기에 4.32의 학점을 달성하였고, 미생물유전학, 단백질공학, 기질 생물학 연구실 등 3군데의 연구실에서 학부 연구원 경험을 했습니다. 또한 OO OOOOOO 에서 6주간 대학생 인턴 실습을 품질관리 직무로 진행하기도 했습니다. 이러한 성공 경험을 바탕으로 에스티팜에 입사하여 품질관리 직무를 맡아 업무적인 성과를 쟁취하겠습니다. 생산 및 출하 일정에 맞춰 분석 시험을 진행하면서 제품의 품질이 완벽하도록 하는데 기여하겠습니다. IPC QC로 업무를 수행하며 직무적인 성장과 회사의 성장을 동시에 쟁취하는 것이 목표입니다.","병 기본 이론 공부와 연구원 경험에서 배운 지식과 기술들을 에스티팜에 기여하면서, 어떻게 동료들과 협력하고 지식을 공유하고 있나요?"
"원만한 대인 관계를 위해서는 청렴한 마음가짐과 정직한 행동이 필요합니다. 청렴과 정직한 자세로 타인으로부터 신뢰를 얻은 경험이 있습니다. 약 7개월 동안 대외활동(서포터즈) 팀장 역할을 수행하였으며 월 30만 원의 활동비를 받았습니다. 활동비 사용에 대해 사후 보고할 필요가 없어서 사적으로 사용해도 티가 나지 않는 상황이었습니다.하지만 단 한 번도 사적으로 사용하지 않았고 오로지 단체 활동을 위해 사용했습니다. 사적 사용에 대한 문제를 해결하고자 자체적으로 활동비 보고서를 만들어 매월 팀원들에게 투명하게 공개했습니다. 그리고 보고서와 영수증 등 결제 내용을 조작했을 수도 있다는 의심을 해소하고자 활동비 관리 권한을 한 달씩 돌아가면서 맡아보자고 제안했습니다. 권한과 책임을 나눔으로써 활동 간 책임감을 강화할 수 있고, 문제와 갈등을 예방할 수 있을 것이라는 기대효과를 덧붙여 설명했습니다. 팀원은 흔쾌히 동의했고, 결과적으로 청렴과 정직한 팀워크로 최우수 팀으로 선정되기도 했습니다.청렴과 정직의 자세뿐만 아니라, 다양한 사람들과 함께 어우러질 수 있는 원만한 대인관계 능력도 강점입니다. 특히 인사 총무 담당자는 다양한 부서와의 협력 업무가 많고, 때로는 설득과 협상의 기술을 발휘해야 하기도 합니다. 본인은 실현 가능성이 있는 목표를 세우고 그에 걸맞은 계획을 세우고, 이를 타인에게 조리 있게 설명하여 동참할 수 있도록 설득하는 힘도 갖고 있습니다. 인사 총무 담당자로서 적극적인 마인드로 임하여 임직원들과 상호 발전하겠습니다.","팀 내에서 활동비 관리에 대한 투명성과 청렴한 자세를 보여주신 사례가 인상적입니다. 이러한 경험을 통해 얻은 교훈이 무엇이며, 이후에 어떤 상황에서도 정직하고 투명한 리더로서 나아가겠다는 다짐이 있으신가요?"
"원만한 대인 관계를 위해서는 청렴한 마음가짐과 정직한 행동이 필요합니다. 청렴과 정직한 자세로 타인으로부터 신뢰를 얻은 경험이 있습니다. 약 7개월 동안 대외활동(서포터즈) 팀장 역할을 수행하였으며 월 30만 원의 활동비를 받았습니다. 활동비 사용에 대해 사후 보고할 필요가 없어서 사적으로 사용해도 티가 나지 않는 상황이었습니다.하지만 단 한 번도 사적으로 사용하지 않았고 오로지 단체 활동을 위해 사용했습니다. 사적 사용에 대한 문제를 해결하고자 자체적으로 활동비 보고서를 만들어 매월 팀원들에게 투명하게 공개했습니다. 그리고 보고서와 영수증 등 결제 내용을 조작했을 수도 있다는 의심을 해소하고자 활동비 관리 권한을 한 달씩 돌아가면서 맡아보자고 제안했습니다. 권한과 책임을 나눔으로써 활동 간 책임감을 강화할 수 있고, 문제와 갈등을 예방할 수 있을 것이라는 기대효과를 덧붙여 설명했습니다. 팀원은 흔쾌히 동의했고, 결과적으로 청렴과 정직한 팀워크로 최우수 팀으로 선정되기도 했습니다.청렴과 정직의 자세뿐만 아니라, 다양한 사람들과 함께 어우러질 수 있는 원만한 대인관계 능력도 강점입니다. 특히 인사 총무 담당자는 다양한 부서와의 협력 업무가 많고, 때로는 설득과 협상의 기술을 발휘해야 하기도 합니다. 본인은 실현 가능성이 있는 목표를 세우고 그에 걸맞은 계획을 세우고, 이를 타인에게 조리 있게 설명하여 동참할 수 있도록 설득하는 힘도 갖고 있습니다. 인사 총무 담당자로서 적극적인 마인드로 임하여 임직원들과 상호 발전하겠습니다.",다양한 부서와 협력하고 인사 총무 업무를 수행하는데 필요한 설득과 협상의 기술에 대해 구체적인 예시를 들어 설명해주세요. 이러한 기술들이 에스티팜의 인사 총무 담당자로서 어떻게 도움이 될 것으로 기대하고 계신가요?
"원만한 대인 관계를 위해서는 청렴한 마음가짐과 정직한 행동이 필요합니다. 청렴과 정직한 자세로 타인으로부터 신뢰를 얻은 경험이 있습니다. 약 7개월 동안 대외활동(서포터즈) 팀장 역할을 수행하였으며 월 30만 원의 활동비를 받았습니다. 활동비 사용에 대해 사후 보고할 필요가 없어서 사적으로 사용해도 티가 나지 않는 상황이었습니다.하지만 단 한 번도 사적으로 사용하지 않았고 오로지 단체 활동을 위해 사용했습니다. 사적 사용에 대한 문제를 해결하고자 자체적으로 활동비 보고서를 만들어 매월 팀원들에게 투명하게 공개했습니다. 그리고 보고서와 영수증 등 결제 내용을 조작했을 수도 있다는 의심을 해소하고자 활동비 관리 권한을 한 달씩 돌아가면서 맡아보자고 제안했습니다. 권한과 책임을 나눔으로써 활동 간 책임감을 강화할 수 있고, 문제와 갈등을 예방할 수 있을 것이라는 기대효과를 덧붙여 설명했습니다. 팀원은 흔쾌히 동의했고, 결과적으로 청렴과 정직한 팀워크로 최우수 팀으로 선정되기도 했습니다.청렴과 정직의 자세뿐만 아니라, 다양한 사람들과 함께 어우러질 수 있는 원만한 대인관계 능력도 강점입니다. 특히 인사 총무 담당자는 다양한 부서와의 협력 업무가 많고, 때로는 설득과 협상의 기술을 발휘해야 하기도 합니다. 본인은 실현 가능성이 있는 목표를 세우고 그에 걸맞은 계획을 세우고, 이를 타인에게 조리 있게 설명하여 동참할 수 있도록 설득하는 힘도 갖고 있습니다. 인사 총무 담당자로서 적극적인 마인드로 임하여 임직원들과 상호 발전하겠습니다.",원만한 대인 관계를 형성하는 데 가장 중요하다고 생각하는 가치나 원칙이 무엇인지 알려주세요. 이러한 가치를 실천하면서 팀 내에서 갈등 상황을 어떻게 조정하고 해결했던 경험을 공유해주세요.
